G80 2.5T-GDI 2WD 19인치 (SP),현대,휘발유,10.6,9.3,12.8,NULL,2258462,4등급,2497,2021,
G80 2.5T-GDI 2WD 19인치타이어,현대,휘발유,10.6,9.3,12.8,NULL,2258462,4등급,2497,2020,
G80 2.5T-GDI 2WD 20인치 (22MY),현대,휘발유,10.5,9.2,12.6,NULL,2279971,4등급,2497,2021,
G80 2.5T-GDI 2WD 20인치 (SP),현대,휘발유,10.5,9.2,12.5,NULL,2279971,4등급,2497,2021,
G80 2.5T-GDI 2WD 20인치타이어,현대,휘발유,10.6,9.2,12.8,NULL,2258462,4등급,2497,2020,
G90 3.3T-GDI 2WD 4인 (19“ 타이어),현대,휘발유,8.4,7.3,10.1,NULL,2849964,5등급,3342,2018,
G90 3.3T-GDI 2WD 5인 (18“ 타이어),현대,휘발유,8.8,7.6,10.7,NULL,2720420,5등급,3342,2018,
G90 3.3T-GDI 2WD 5인 (19“ 타이어),현대,휘발유,8.4,7.3,10.1,NULL,2849964,5등급,3342,2018,
G90 3.3T-GDI AWD 4인 (19“ 타이어),현대,휘발유,8,7,9.7,NULL,2992463,5등급,3342,2018,
G90 3.3T-GDI AWD 5인 (18“ 타이어),현대,휘발유,8.1,7,9.9,NULL,2955519,5등급,3342,2018,
G90 3.3T-GDI AWD 5인 (19“ 타이어),현대,휘발유,8,7,9.7,NULL,2992463,5등급,3342,2018,
G90 3.5T-GDI 2WD 4/5인 블랙라인,현대,휘발유,8.8,7.6,10.8,NULL,2720420,5등급,3470,2024,
G90 3.5T-GDI 2WD 4인 19인치,현대,휘발유,9,7.8,11.1,NULL,2659967,5등급,3470,2022,
G90 3.5T-GDI 2WD 4인 19인치_24MY,현대,휘발유,9,7.8,11.1,NULL,2659967,5등급,3470,2024,
G90 3.5T-GDI 2WD 4인 19인치(HDP),현대,휘발유,8.8,7.7,10.6,NULL,2720420,5등급,3470,2023,
G90 3.5T-GDI 2WD 4인 20인치,현대,휘발유,8.9,7.7,10.8,NULL,2689854,5등급,3470,2022,
G90 3.5T-GDI 2WD 4인 20인치_24MY,현대,휘발유,8.9,7.7,10.8,NULL,2689854,5등급,3470,2024,
G90 3.5T-GDI 2WD 4인 20인치(HDP),현대,휘발유,8.8,7.7,10.6,NULL,2720420,5등급,3470,2023,
G90 3.5T-GDI 2WD 5인 19인치,현대,휘발유,9.3,8,11.5,NULL,2574161,5등급,3470,2022,
G90 3.5T-GDI 2WD 5인 19인치 (nC)_24MY,현대,휘발유,9.3,8,11.5,NULL,2574161,5등급,3470,2024,
G90 3.5T-GDI 2WD 5인 19인치(C)_24MY,현대,휘발유,9.3,8,11.5,NULL,2574161,5등급,3470,2024,
G90 3.5T-GDI 2WD 5인 19인치(HDP),현대,휘발유,9.2,7.9,11.3,NULL,2602141,5등급,3470,2023,
G90 3.5T-GDI 2WD 5인 19인치(빌트인캠),현대,휘발유,9.3,8,11.5,NULL,2574161,5등급,3470,2022,
G90 3.5T-GDI 2WD 5인 20인치,현대,휘발유,8.9,7.7,10.8,NULL,2689854,5등급,3470,2022,
G90 3.5T-GDI 2WD 5인 20인치(HDP),현대,휘발유,8.8,7.7,10.6,NULL,2720420,5등급,3470,2023,
GV60 4WD 19인치,현대,전기,4.5,4.8,4.1,400,1157333,3등급,NULL,2021,
GV60 4WD 20인치,현대,전기,4.3,4.6,4,380,1211163,3등급,NULL,2021,
GV60 4WD 무선충전,현대,전기,4.1,4.4,3.8,361,1270244,4등급,NULL,2021,
GV60 RWD 19인치,현대,전기,5.1,5.7,4.5,451,1021176,2등급,NULL,2021,
GV60 성능형 4WD 21인치,현대,전기,4.1,4.3,3.8,368,1270244,4등급,NULL,2021,
GV60 성능형 4WD 무선충전,현대,전기,3.9,4.2,3.7,350,1335385,4등급,NULL,2021,
GV70 2.2디젤 2WD 18인치,현대,경유,13.6,12.1,15.8,NULL,1676515,3등급,2151,2020,
GV70 2.2디젤 2WD 18인치 (빌트인캠),현대,경유,13.5,12.1,15.6,NULL,1688933,3등급,2151,2020,
